نسخة جاهزة للتصوير مساهمة,a ready-made camera input,,
الملخص,abstract,summary,
مساهمة مقبولة,accepted contribution,,
مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر,applicant conference who paid early conference fees,,
مقدم الطلب مسجل,applicant registered,,
طلب مقدم للمؤتمر,application to the conference,,
الدعوة لتقديم الأبحاث,call for research,,
دعت الحديث,called,,
متحدث المدعو,called speaker,,
اللجنة,committee,board,
المؤتمر,conference,,
وثيقة المؤتمر,conference document,,
المشارك في المؤتمر,conference participant,,
سلسله المؤتمر,conference series,,
مسار المؤتمر,conferene track,,
مساهمة للمؤتمر,contributer to the conference,,
كاتب المساهمة,contributing writer,,
مساهمة المؤتمر,contribution of the conference,,
مساهمة مراجعة,contribution review,,
إعلان المؤتمر,declaration of the conference,,
اللجنة التوجيهية,directory committee,,
البرنامج التعليمي,educationl program,,
ملخص موسع,extended summary,,
رسوم من اجل المؤتمر,fees for the conference,,
رئيس مسار ورشة العمل,head of the workshop track,,
تاريخ مهم,important date,,
معلومات للمشاركين,Information for participants,,
شبكة الإنترنت العنكبوتية للمؤتمر,internet conference web,,
دعوة للمشاركة,invitation to participate,,
الكاتب المشترك في المساهمة,joint author in the contribution,,
الرئيس المشترك,joint chairman,,
عضو  في اللجنة,member of the committee,,
محضر المؤتمر,minutes of the conference,,
لاشيء,nothing,,
المنظمة,organization,,
منظم,organizer,arranger,
اللجنة المنظمة,organizing committee,,
جزء من المؤتمر,part of the conference,,
مشارك السلبي في المؤتمر,passive participant in the conference,,
شخص,person,individual,
مشارك ايجابي في المؤتمر,positive participant in the conference,,
ملصق,poster,label,
افضلية المراجع,preferred references,,
العرض التقديمي,presentation,,
رئيس,president,head,chief
الناشر,publisher,,
خبرة المراجع,reference experience,,
المراجع,references,,
مساهمة منتظمة,regular contribution,,
مساهمة مرفوضة,rejected contribution,,
طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر,request to the conference that recently paid the conference fees,,
طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر,request to the conference who paid the conference fees,,
مراجعة,revision,review,
اللجنة العلمية,scientific committee,,
مساهمة مرسلة,sent contribution,,
البحث,study,research,
المؤلف الأول للمساهمة,The first author of the contribution,,
الموضوع,theme,subject,topic
ورشة عمل,workshop,,
مساهمة خطية,written contribution,,
